drugs_name,drugs_slug,diseases_name,diseases_slug,createdAt,updatedAt
Valsartan,valsartan,Left Ventricular Dysfunction,left-ventricular-dysfunction,2022/05/25 14:48:28,2022/05/25 14:48:28
Guanfacine,guanfacine,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Lybrel,lybrel,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Ortho Evra,ortho-evra,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Buprenorphine / naloxone,buprenorphine-naloxone,Opiate Dependence,opiate-dependence,2022/05/25 14:48:28,2022/05/25 14:48:28
Cialis,cialis,Benign Prostatic Hyperplasia,benign-prostatic-hyperplasia,2022/05/25 14:48:28,2022/05/25 14:48:28
Levonorgestrel,levonorgestrel,Emergency Contraception,emergency-contraception,2022/05/25 14:48:28,2022/05/25 14:48:28
Aripiprazole,aripiprazole,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Keppra,keppra,Epilepsy,epilepsy,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / levonorgestrel,ethinyl-estradiol-levonorgestrel,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Topiramate,topiramate,Migraine Prevention,migraine-prevention,2022/05/25 14:48:28,2022/05/25 14:48:28
L-methylfolate,l-methylfolate,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Pentasa,pentasa,Crohn's Disease,crohn-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Dextromethorphan,dextromethorphan,Cough,cough,2022/05/25 14:48:28,2022/05/25 14:48:28
Nexplanon,nexplanon,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Liraglutide,liraglutide,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Trimethoprim,trimethoprim,Urinary Tract Infection,urinary-tract-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Amitriptyline,amitriptyline,ibromyalgia,ibromyalgia,2022/05/25 14:48:28,2022/05/25 14:48:28
Lamotrigine,lamotrigine,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Nilotinib,nilotinib,Chronic Myelogenous Leukemia,chronic-myelogenous-leukemia,2022/05/25 14:48:28,2022/05/25 14:48:28
Atripla,atripla,HIV Infection,hiv-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Trazodone,trazodone,Insomnia,insomnia,2022/05/25 14:48:28,2022/05/25 14:48:28
Etonogestrel,etonogestrel,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Etanercept,etanercept,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Tioconazole,tioconazole,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Azithromycin,azithromycin,Chlamydia Infection,chlamydia-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Eflornithine,eflornithine,Hirsutism,hirsutism,2022/05/25 14:48:28,2022/05/25 14:48:28
Daytrana,daytrana,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Ativan,ativan,Panic Disorde,panic-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Imitrex,imitrex,Migraine,migraine,2022/05/25 14:48:28,2022/05/25 14:48:28
Sertraline,sertraline,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Toradol,toradol,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Viberzi,viberzi,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Mobic,mobic,Osteoarthritis,osteoarthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Dulcolax,dulcolax,Constipation,constipation,2022/05/25 14:48:28,2022/05/25 14:48:28
Morphine,morphine,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
MoviPrep,moviprep,Bowel Preparation,bowel-preparation,2022/05/25 14:48:28,2022/05/25 14:48:28
Trilafon,trilafon,Psychosis,psychosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluconazole,fluconazole,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Contrave,contrave,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Clonazepam,clonazepam,Panic Disorde,panic-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Metaxalone,metaxalone,Muscle Spasm,muscle-spasm,2022/05/25 14:48:28,2022/05/25 14:48:28
Venlafaxine,venlafaxine,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Ledipasvir / sofosbuvir,ledipasvir-sofosbuvir,Hepatitis C,hepatitis-c,2022/05/25 14:48:28,2022/05/25 14:48:28
Symbyax,symbyax,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Tamsulosin,tamsulosin,Overactive Bladde,overactive-bladde,2022/05/25 14:48:28,2022/05/25 14:48:28
Doxycycline,doxycycline,Urinary Tract Infection,urinary-tract-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Dulaglutide,dulaglutide,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Intuniv,intuniv,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Buprenorphine,buprenorphine,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Qvar,qvar,"Asthma, Maintenance",asthma-maintenance,2022/05/25 14:48:28,2022/05/25 14:48:28
Opdivo,opdivo,Non-Small Cell Lung Cance,non-small-cell-lung-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
Aripiprazole,aripiprazole,Schizophrenia,schizophrenia,2022/05/25 14:48:28,2022/05/25 14:48:28
Pyridium,pyridium,Dysuria,dysuria,2022/05/25 14:48:28,2022/05/25 14:48:28
Latuda,latuda,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Bupropion,bupropion,Smoking Cessation,smoking-cessation,2022/05/25 14:48:28,2022/05/25 14:48:28
Implanon,implanon,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Effexor XR,effexor-xr,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Drospirenone / ethinyl estradiol,drospirenone-ethinyl-estradiol,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
NuvaRing,nuvaring,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Prepopik,prepopik,Bowel Preparation,bowel-preparation,2022/05/25 14:48:28,2022/05/25 14:48:28
Tretinoin,tretinoin,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Effexor XR,effexor-xr,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Gildess Fe 1 / 20,gildess-fe-1-20,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / norgestimate,ethinyl-estradiol-norgestimate,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Elbasvir / grazoprevir,elbasvir-grazoprevir,Hepatitis C,hepatitis-c,2022/05/25 14:48:28,2022/05/25 14:48:28
Clomiphene,clomiphene,emale Infertility,emale-infertility,2022/05/25 14:48:28,2022/05/25 14:48:28
Docusate / senna,docusate-senna,"Constipation, Acute",constipation-acute,2022/05/25 14:48:28,2022/05/25 14:48:28
Amitiza,amitiza,"Constipation, Drug Induced",constipation-drug-induced,2022/05/25 14:48:28,2022/05/25 14:48:28
Sildenafil,sildenafil,Erectile Dysfunction,erectile-dysfunction,2022/05/25 14:48:28,2022/05/25 14:48:28
Lo Loestrin Fe,lo-loestrin-fe,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Sertraline,sertraline,Panic Disorde,panic-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Oxcarbazepine,oxcarbazepine,Trigeminal Neuralgia,trigeminal-neuralgia,2022/05/25 14:48:28,2022/05/25 14:48:28
Wellbutrin,wellbutrin,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Levonorgestrel,levonorgestrel,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Phillips' Milk of Magnesia,phillips-milk-of-magnesia,Constipation,constipation,2022/05/25 14:48:28,2022/05/25 14:48:28
Nature-Throid,nature-throid,Underactive Thyroid,underactive-thyroid,2022/05/25 14:48:28,2022/05/25 14:48:28
Lithium,lithium,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Oxycodone,oxycodone,Chronic Pain,chronic-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Estradiol,estradiol,Atrophic Vaginitis,atrophic-vaginitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Sronyx,sronyx,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Augmentin XR,augmentin-xr,Skin and Structure Infection,skin-and-structure-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Monistat 7-Day Combination Pack,monistat-7-day-combination-pack,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Plan B One-Step,plan-b-one-step,Emergency Contraception,emergency-contraception,2022/05/25 14:48:28,2022/05/25 14:48:28
Alprazolam,alprazolam,Tinnitus,tinnitus,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluoxetine,fluoxetine,Major Depressive Disorde,major-depressive-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Aripiprazole,aripiprazole,Depression,depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Spironolactone,spironolactone,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluvoxamine,fluvoxamine,Anxiety and Stress,anxiety-and-stress,2022/05/25 14:48:28,2022/05/25 14:48:28
Macrobid,macrobid,Urinary Tract Infection,urinary-tract-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Lurasidone,lurasidone,Schizophrenia,schizophrenia,2022/05/25 14:48:28,2022/05/25 14:48:28
Adapalene / benzoyl peroxide,adapalene-benzoyl-peroxide,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Brimonidine,brimonidine,Rosacea,rosacea,2022/05/25 14:48:28,2022/05/25 14:48:28
Amlodipine / olmesartan,amlodipine-olmesartan,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Loestrin 24 Fe,loestrin-24-fe,2</span> users found this comment helpful.,2-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Linaclotide,linaclotide,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Mirtazapine,mirtazapine,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetaminophen / hydrocodone,acetaminophen-hydrocodone,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Isotretinoin,isotretinoin,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Ropinirole,ropinirole,Restless Legs Syndrome,restless-legs-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Zoledronic acid,zoledronic-acid,Osteolytic Bone Metastases of Solid Tumors,osteolytic-bone-metastases-of-solid-tumors,2022/05/25 14:48:28,2022/05/25 14:48:28
Lamictal,lamictal,Bipolar Disorde,bipolar-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Buspirone,buspirone,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Propranolol,propranolol,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Focalin,focalin,ADHD,adhd,2022/05/25 14:48:28,2022/05/25 14:48:28
Jolivette,jolivette,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Levofloxacin,levofloxacin,Bronchitis,bronchitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Phentermine / topiramate,phentermine-topiramate,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Cephalexin,cephalexin,Skin or Soft Tissue Infection,skin-or-soft-tissue-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Aviane,aviane,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Saxenda,saxenda,Obesity,obesity,2022/05/25 14:48:28,2022/05/25 14:48:28
Clomipramine,clomipramine,Obsessive Compulsive Disorde,obsessive-compulsive-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Medroxyprogesterone,medroxyprogesterone,Endometriosis,endometriosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Aczone,aczone,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Nicoderm CQ,nicoderm-cq,Smoking Cessation,smoking-cessation,2022/05/25 14:48:28,2022/05/25 14:48:28
Naltrexone,naltrexone,Opiate Dependence,opiate-dependence,2022/05/25 14:48:28,2022/05/25 14:48:28
